2025/11/18/09:13
Multiple
1
,Stim_00,Stim_01,Stim_02,Stim_03,Stim_04,Stim_05,Stim_06,Stim_07,Stim_08,Stim_09,Stim_10,Stim_11,Stim_12,Stim_13
Stim_00,0,0,1,0,1,1,1,0,1,0,0,1,1,0
Stim_01,1,0,1,0,1,0,1,1,1,1,0,0,1,1
Stim_02,0,0,0,0,1,1,1,0,1,1,0,0,1,1
Stim_03,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Stim_04,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Stim_05,0,1,0,0,0,0,0,0,1,0,0,1,1,0
Stim_06,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Stim_07,1,0,1,0,1,1,1,0,1,1,1,1,1,1
Stim_08,0,0,0,0,1,0,1,0,0,0,0,1,1,1
Stim_09,1,0,0,0,1,1,1,0,1,0,0,1,0,0
Stim_10,1,1,1,0,1,1,1,0,1,1,0,1,1,1
Stim_11,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Stim_12,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Stim_13,1,0,0,0,1,1,1,0,0,1,0,1,1,0
